[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\catalog.json | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\dd_vcredist_amd64_20260412110418.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\dd_vcredist_x86_20260412110419.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260404-2319.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1615.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1618.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1620.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1632.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1758.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1805.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1827.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260406-1959.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-0908.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-0911.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-0911a.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-0913.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-0929.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-0938.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-1631.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-1641.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-1804.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260407-2011.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260408-0018.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260408-0927.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260408-0930.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260408-0932.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260408-0949.log | Пользователь: Ghost
[14.04.2026 15:04:28] УДАЛЕНО: C:\Windows\Temp\DESKTOP-9BDV6A0-20260408-1432.log | Пользователь: Ghost
